user_id,user_id1
3714,7627
3714,1642
3714,2784
3714,6045
3714,3236
3714,2588
3714,1568
3714,837
3714,6656
3714,1765
3714,1381
3714,7193
3714,1406
3714,671
3714,1641
3714,6184
3714,4689
3714,5421
3714,4810
3714,7676
3714,5160
3714,5171
3714,7660
3714,6102
3714,6632
3714,497
3714,4606
3714,7889
3714,2047
3714,8086
3714,903
3714,4011
3714,4041
3714,1342
3714,3482
3714,4005
3714,7924
3714,1535
3714,6207
3714,7959
3714,3044
3714,6504
3714,5612
3714,376
3714,306
3714,600
3714,4581
3714,76
3714,762
3714,6852
3714,1956
3714,5933
3714,1305
3714,3839
3714,3493
3714,6962
3714,6030
3714,7142
3714,7129
3714,7057
3714,4726
3714,1611
3714,1997
3714,1715
3714,5923
3714,6121
3714,4768
3714,5686
3714,660
3714,1101
3714,6006
3714,2638
3714,2354
3714,3190
3714,3459
3714,5553
3714,4874
3714,7746
3714,5262
3714,5602
3714,4158
3714,3836
3714,7883
3714,2536
3714,3623
3714,1794
3714,7174
3714,3914
3714,6432
3714,732
3714,1014
3714,939
3714,5179
3714,1806
3714,8106
3714,2115
3714,1258
3714,3443
3714,2113
3714,4342
3714,3017
3714,5939
3714,2470
3714,2352
3714,6677
3714,7490
3714,7864
3714,982
3714,5392
3714,1716
3714,8342
3714,3489
3714,5360
3714,7251
3714,2849
3714,2078
3714,675
3714,766
3714,2041
3714,3837
3714,6374
3714,4584
3714,2533
3714,6995
3714,6091
3714,2160
3714,7056
3714,2123
3714,1541
3714,5484
3714,2481
3714,1887
3714,5404
3714,801
3714,213
3714,3464
3714,4227
3714,8034
3714,7653
3714,25
3714,5846
3714,4670
3714,5198
3714,7209
3714,1185
3714,75
3714,7870
3714,8396
3714,5973
3714,816
3714,197
3714,3419
3714,5250
3714,7775
3714,5721
3714,6268
3714,7368
3714,3619
3714,2948
3714,3811
3714,7917
3714,4985
3714,1799
3714,8399
3714,6794
3714,6584
3714,6257
3714,5858
3714,5590
3714,4084
3714,3348
3714,23
3714,5438
3714,3233
3714,4267
3714,3995
3714,887
3714,2999
3714,473
3714,4499
3714,6108
3714,5984
3714,5644
3714,6284
3714,5651
3714,1898
3714,1072
3714,3215
3714,7996
3714,4175
3714,6878
3714,2640
3714,1202
3714,3479
3714,5506
3714,2301
3714,6461
3714,2237
3714,3389
3714,5148
3714,3092
3714,1871
3714,1077
3714,940
3714,4580
3714,3534
3714,1170
3714,1745
3714,4738
3714,5970
3714,1323
3714,3076
3714,7322
3714,7071
3714,471
3714,4795
3714,7147
3714,4085
3714,5169
3714,3118
3714,2868
3714,2132
3714,606
3714,2172
3714,7619
3714,5282
3714,5230
3714,3416
3714,4207
3714,7519
3714,5030
3714,3170
3714,6154
3714,6893
3714,3596
3714,8390
3714,5382
3714,1247
3714,7487
3714,667
3714,4195
3714,6233
3714,5125
3714,3287
3714,6996
3714,4538
3714,5610
3714,2667
3714,6599
3714,2416
3714,2167
3714,5861
3714,7618
3714,2277
3714,3944
3714,5318
3714,8090
3714,6501
3714,4611
3714,6605
3714,4276
3714,4171
3714,2547
3714,7648
3714,2609
3714,3681
3714,1184
3714,7479
3714,1130
3714,7481
3714,2723
3714,6802
3714,5439
3714,4931
3714,1522
3714,2023
3714,4367
3714,8079
3714,1079
3714,5493
2066,2113
2066,4580
2066,5933
2066,306
2066,3479
2066,3443
2066,7648
2066,4342
2066,3044
2066,2849
2066,7155
2066,4738
2066,1010
2066,1072
2066,2667
2066,6121
2066,6922
2066,1342
2066,4584
2066,499
2066,4011
2066,6677
2066,2087
2066,76
2066,3017
2066,7353
2066,5389
2066,3914
2066,7032
2066,1101
2066,6091
2066,2664
2066,5939
2066,1887
2066,7543
2066,8083
2066,5484
2066,7731
2066,6398
2066,6794
2066,3348
2066,7775
2066,3493
2066,6302
2066,2023
2066,8340
2066,2830
2066,2160
2066,5135
2066,2237
2066,4360
2066,8090
2066,260
2066,7497
2066,816
2066,1799
2066,4910
2066,5035
2066,6736
2066,3233
2066,887
2066,7653
2066,4321
2066,3811
2066,7284
2066,1541
2066,2132
2066,2817
2066,45
2066,1830
2066,1676
